URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://worldhealthorganization.github.io/smart-ot/ValueSet/AnimalContactLocation,0.2.1,draft,,AnimalContactLocation,Animal Contact Location,"Animal Contact Location","Questionnaire/Questionnaire-SOTGenericRespiratoryDiseaseCIF","Internal"
http://worldhealthorganization.github.io/smart-ot/ValueSet/AnimalContactLocation,null,draft,,AnimalContactLocation,Animal Contact Location,"Animal Contact Location",,"Internal"
http://worldhealthorganization.github.io/smart-ot/ValueSet/AnimalContactType,0.2.1,draft,,AnimalContactType,Animal Contact Type,"Animal Contact Type","StructureDefinition/SOTT1ExposureAnimal","Internal"
http://worldhealthorganization.github.io/smart-ot/ValueSet/AnimalExposureLocation,0.2.1,draft,,AnimalExposureLocation,Animal Exposure Location,"Animal Exposure Location","Questionnaire/Questionnaire-SOTGenericRespiratoryDiseaseCIF","Internal"
http://worldhealthorganization.github.io/smart-ot/ValueSet/AnimalExposureLocation,null,draft,,AnimalExposureLocation,Animal Exposure Location,"Animal Exposure Location",,"Internal"
http://worldhealthorganization.github.io/smart-ot/ValueSet/Antigen,0.2.1,draft,,Antigen, Antigen," Antigen","StructureDefinition/SOTMeaslesLaboratoryResults,Questionnaire/Questionnaire-SOTMeasles","Internal"
http://worldhealthorganization.github.io/smart-ot/ValueSet/Antigen,null,draft,,Antigen, Antigen," Antigen",,"Internal"
http://worldhealthorganization.github.io/smart-ot/ValueSet/BiologicalSex,0.2.1,draft,,BiologicalSex,SOT Biological Sex,"Biological Sex","Questionnaire/SOTMeasles-AFRO-MRCIF,StructureDefinition/SOTT1CaseInfo,Questionnaire/Questionnaire-SOTMeasles,StructureDefinition/MeaslesPatient,Questionnaire/Questionnaire-SOTGenericRespiratoryDiseaseCIF,Questionnaire/Questionnaire-SOTT0CaseInvestigationForm,StructureDefinition/AFROMRCIFDemographic,StructureDefinition/SOTMeaslesDemographic","hl7.fhir.r4.core"
http://worldhealthorganization.github.io/smart-ot/ValueSet/BiologicalSex,null,draft,,BiologicalSex,SOT Biological Sex,"Biological Sex",,"hl7.fhir.r4.core"
http://worldhealthorganization.github.io/smart-ot/ValueSet/BiologicalSex,null,draft,,BiologicalSex,SOT Biological Sex,"Biological Sex",,"hl7.fhir.r4.core"
