"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1 Clinical - Gastro-intestinal","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"SOTT1ClinicalGastroIntestinal.id","SOTT1ClinicalGastroIntestinal.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SOTT1ClinicalGastroIntestinal.extension","SOTT1ClinicalGastroIntestinal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SOTT1ClinicalGastroIntestinal.modifierExtension","SOTT1ClinicalGastroIntestinal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SOTT1ClinicalGastroIntestinal.nausea","SOTT1ClinicalGastroIntestinal.nausea","","","",0,1,"","","","code {[]} {[]}
","Nausea/vomiting","Include nausea, vomiting, abdominal pain, loss of appetite, diarrhea, dysentery, increased liver and/or spleen volume, anorexia.","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.nausea",0,1,"",""
"SOTT1ClinicalGastroIntestinal.anorexia","SOTT1ClinicalGastroIntestinal.anorexia","","","",0,1,"","","","code {[]} {[]}
","Loss of appetite","Loss of appetite (anorexia), loss of desire to eat.","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.anorexia",0,1,"",""
"SOTT1ClinicalGastroIntestinal.gastroIntestinalDisorders","SOTT1ClinicalGastroIntestinal.gastroIntestinalDisorders","","","",0,1,"","","","code {[]} {[]}
","Observed gastro intestinal disorders","Is or was the case nauseas or is or was the case vomiting?","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.gastroIntestinalDisorders",0,1,"",""
"SOTT1ClinicalGastroIntestinal.abdominalPain","SOTT1ClinicalGastroIntestinal.abdominalPain","","","",0,1,"","","","code {[]} {[]}
","Stomach or abdominal pain","Painful abdomen (currently or on palpation)","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.abdominalPain",0,1,"",""
"SOTT1ClinicalGastroIntestinal.hiccoughs","SOTT1ClinicalGastroIntestinal.hiccoughs","","","",0,1,"","","","code {[]} {[]}
","Hiccoughs","Hiccoughs, hicups, repeated involuntary spasm/contraction of the diaphragm accompanied by closure of the glottis which may produce the characteristic sound. (Aspecific sign, risk for confusion)","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalGastroIntestinal.hiccoughs",0,1,"",""
"SOTT1ClinicalGastroIntestinal.tenderAbdomen","SOTT1ClinicalGastroIntestinal.tenderAbdomen","","","",0,1,"","","","code {[]} {[]}
","Tender abdomen","Slightly painful abdomen on palpation","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.tenderAbdomen",0,1,"",""
"SOTT1ClinicalGastroIntestinal.palpableSpleen","SOTT1ClinicalGastroIntestinal.palpableSpleen","","","",0,1,"","","","code {[]} {[]}
","Palpable spleen","Splenomegaly","","","","","","","","","",,"required","","http://worldhealthorganization.github.io/smart-ot/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.palpableSpleen",0,1,"",""
